,name,rest_id,online_order,book_table,rate,votes,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type),rating_encoded
0,Jalsa,1.0,Online,booking_available,4.1,775.0,Banashankari,Casual Dining,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup","North Indian, Mughlai, Chinese",800.0,Buffet,22.0
1,Spice Elephant,2.0,Online,booking_not_available,4.1,787.0,Banashankari,Casual Dining,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani","Chinese, North Indian, Thai",800.0,Buffet,22.0
2,San Churro Cafe,3.0,Online,booking_not_available,3.8,918.0,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Buffet,19.0
3,Addhuri Udupi Bhojana,4.0,Offline,booking_not_available,3.7,88.0,Banashankari,Quick Bites,Masala Dosa,"South Indian, North Indian",300.0,Buffet,18.0
4,Grand Village,5.0,Offline,booking_not_available,3.8,166.0,Basavanagudi,Casual Dining,"Panipuri, Gol Gappe","North Indian, Rajasthani",600.0,Buffet,19.0
5,Timepass Dinner,6.0,Online,booking_not_available,3.8,286.0,Basavanagudi,Casual Dining,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",North Indian,600.0,Buffet,19.0
7,Onesta,7.0,Online,booking_available,4.6,2556.0,Banashankari,"Casual Dining, Cafe","Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza","Pizza, Cafe, Italian",600.0,Cafes,21.0
8,Penthouse Cafe,8.0,Online,booking_not_available,4.0,324.0,Banashankari,Cafe,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches","Cafe, Italian, Continental",700.0,Cafes,23.0
9,Smacznego,9.0,Online,booking_not_available,4.2,504.0,Banashankari,Cafe,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos","Cafe, Mexican, Italian, Momos, Beverages",550.0,Cafes,22.0
10,CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,10.0,Online,booking_not_available,4.1,402.0,Banashankari,Cafe,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",Cafe,500.0,Cafes,23.0
11,Cafe Shuffle,11.0,Online,booking_available,4.2,150.0,Banashankari,Cafe,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos","Cafe, Italian, Continental",600.0,Cafes,23.0
12,The Coffee Shack,12.0,Online,booking_available,4.2,164.0,Banashankari,Cafe,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread","Cafe, Chinese, Continental, Italian",500.0,Cafes,21.0
13,Caf-Eleven,13.0,Offline,booking_not_available,4.0,424.0,Banashankari,Cafe,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino","Cafe, Continental",450.0,Cafes,19.0
14,San Churro Cafe,14.0,Online,booking_not_available,3.8,918.0,Banashankari,"Cafe, Casual Dining","Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza","Cafe, Mexican, Italian",800.0,Cafes,19.0
15,Cafe Vivacity,15.0,Online,booking_not_available,3.8,90.0,Banashankari,Cafe,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",Cafe,650.0,Cafes,20.0
16,Catch-up-ino,16.0,Online,booking_not_available,3.9,133.0,Banashankari,Cafe,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi","Cafe, Fast Food, Continental, Chinese, Momos",800.0,Cafes,19.0
17,Kirthi's Biryani,17.0,Online,booking_not_available,3.8,144.0,Banashankari,Cafe,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails","Chinese, Cafe, Italian",700.0,Cafes,20.0
18,T3H Cafe,18.0,Offline,booking_not_available,3.9,93.0,Banashankari,Cafe,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata","Cafe, Italian, American",300.0,Cafes,11.0
